id,title,overview,release_date,vote_average,poster_path,genres,popularity
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025-07-29,4.5,https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg,"['Science Fiction', 'Thriller']",2649.5672
986206,Night Carnage,A blogger who is also a werewolf meets a dashing playboy with a dark secret of his own. Starring Logan Andrews and Christian Howard.,2025-07-29,5.385,https://image.tmdb.org/t/p/w500/gep8Mk0ndUn8IXyXouPz5cvIvzj.jpg,"['Action', 'Horror', 'Romance']",666.2853
1087192,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2025-06-06,8.036,https://image.tmdb.org/t/p/w500/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,"['Fantasy', 'Family', 'Action']",514.3783
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"As the Demon Slayer Corps members and Hashira engaged in a group strength training program, the Hashira Training, in preparation for the forthcoming battle against the demons, Muzan Kibutsuji appears at the Ubuyashiki Mansion. With the head of the Demon Corps in danger, Tanjiro and the Hashira rush to the headquarters but are plunged into a deep descent to a mysterious space by the hands of Muzan Kibutsuji.  The destination of where Tanjiro and Demon Slayer Corps have fallen is the demons' stronghold – the Infinity Castle. And so, the battleground is set as the final battle between the Demon Slayer Corps and the demons ignites.",2025-07-18,6.924,https://image.tmdb.org/t/p/w500/aFRDH3P7TX61FVGpaLhKr6QiOC1.jpg,"['Animation', 'Action', 'Fantasy', 'Thriller']",436.1226
1100988,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",2025-06-18,6.933,https://image.tmdb.org/t/p/w500/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,"['Horror', 'Thriller', 'Science Fiction']",444.2474
715253,Phantom,"In 1933, when Korea was under Japanese occupation, five people in Gyeongseong are suspected to be ""Phantom"" spies of the anti-Japanese organization.",2023-01-18,6.657,https://image.tmdb.org/t/p/w500/n1rxZ4wovf7BYhLNwCqde8I3I2N.jpg,"['Action', 'Thriller', 'Crime']",380.3751
552524,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,2025-05-17,7.332,https://image.tmdb.org/t/p/w500/tUae3mefrDVTgm5mRzqWnZK6fOP.jpg,"['Family', 'Science Fiction', 'Comedy', 'Adventure']",319.1835
1071585,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",2025-06-25,7.638,https://image.tmdb.org/t/p/w500/4a63rQqIDTrYNdcnTXdPsQyxVLo.jpg,"['Action', 'Science Fiction', 'Thriller']",324.3295
1263256,Happy Gilmore 2,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",2025-07-25,6.718,https://image.tmdb.org/t/p/w500/ynT06XivgBDkg7AtbDbX1dJeBGY.jpg,['Comedy'],278.5636
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025-07-23,7.3,https://image.tmdb.org/t/p/w500/x26MtUlwtWD26d0G0FXcppxCJio.jpg,"['Science Fiction', 'Adventure']",274.5395
1181540,Guns Up,"When a job goes horribly wrong, an ex-cop and family man who moonlights as a mob henchman has one night to get his family out of the city.",2025-05-15,6.702,https://image.tmdb.org/t/p/w500/3RokBWEkQqJRZEVP3DPwGm5MYh6.jpg,"['Action', 'Comedy', 'Crime']",267.4305
1119878,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",2025-06-27,6.744,https://image.tmdb.org/t/p/w500/cQN9rZj06rXMVkk76UF1DfBAico.jpg,"['Action', 'Thriller', 'Drama']",245.4946
1124619,Bride Hard,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.",2025-06-19,5.974,https://image.tmdb.org/t/p/w500/3mExdWLSxAiUCb4NMcYmxSkO7n4.jpg,"['Action', 'Comedy']",217.452
